epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6756,0.79933,1.87412,1.28606,0.86862,0.13505,0.79802,0.55794,0.736,2.81964,1.34709,0.00042,0.00042,0.00042
2,188.002,0.82625,1.3255,1.29119,0.94059,0.82653,0.88807,0.65639,0.83932,2.08045,1.45139,0.00081743,0.00081743,0.00081743
3,279.343,0.88512,1.27633,1.31645,0.68183,0.68367,0.698,0.38625,1.21946,2.52223,1.97599,0.0011713,0.0011713,0.0011713
4,371.645,0.9086,1.26161,1.34027,0.19769,0.20408,0.10259,0.02761,2.27614,3.41365,3.34647,0.00148161,0.00148161,0.00148161
5,464.267,0.95785,1.17475,1.36152,0.78679,0.79077,0.76267,0.44995,1.23828,2.16246,1.88315,0.001604,0.001604,0.001604
6,555.168,0.92141,1.13204,1.3371,0.88993,0.7449,0.81975,0.58878,1.08452,1.51527,1.7205,0.001505,0.001505,0.001505
7,681.465,0.83439,0.9905,1.27983,0.83341,0.61258,0.74557,0.52602,1.12322,1.86517,1.68312,0.001406,0.001406,0.001406
8,962.176,0.861,0.94445,1.30263,0.82726,0.70408,0.81382,0.60382,0.95768,1.5105,1.52046,0.001307,0.001307,0.001307
9,1051.75,0.87025,0.91266,1.30751,0.94599,0.89364,0.89938,0.6069,1.07194,1.38259,1.62726,0.001208,0.001208,0.001208
10,1143.84,0.84204,0.88204,1.28012,0.89182,0.67299,0.8078,0.56025,1.12331,1.42784,1.6972,0.001109,0.001109,0.001109
11,1234.03,0.73382,1.09096,1.27197,0.48561,0.34694,0.32874,0.18745,1.77299,2.80485,2.38395,0.00101,0.00101,0.00101
12,1325.69,0.67573,0.93778,1.26957,0.88314,0.84827,0.91157,0.68292,0.81343,1.21492,1.37319,0.000911,0.000911,0.000911
13,1417.71,0.66048,0.813,1.20082,0.8611,0.86735,0.91406,0.69642,0.83561,1.02834,1.39689,0.000812,0.000812,0.000812
14,1508.29,0.63803,0.74442,1.19755,0.91908,0.90816,0.94114,0.73657,0.73007,0.83843,1.28827,0.000713,0.000713,0.000713
15,1598.76,0.61013,0.72084,1.17974,1,0.87544,0.94569,0.76645,0.66585,0.77875,1.2427,0.000614,0.000614,0.000614
16,1689.46,0.58747,0.67586,1.15985,0.914,0.90816,0.93901,0.77401,0.69474,0.79034,1.27989,0.000515,0.000515,0.000515
17,1780.62,0.57833,0.65689,1.132,0.91188,0.91837,0.95156,0.79074,0.62116,0.7284,1.22202,0.000416,0.000416,0.000416
18,1873.57,0.55272,0.58762,1.11004,0.94101,0.92857,0.96234,0.80821,0.62698,0.66494,1.19691,0.000317,0.000317,0.000317
19,1964.36,0.50852,0.55086,1.09623,0.95692,0.90656,0.96869,0.82462,0.5819,0.63003,1.16735,0.000218,0.000218,0.000218
20,2055.91,0.48761,0.54695,1.09233,0.94963,0.90816,0.96914,0.8354,0.55058,0.63786,1.14525,0.000119,0.000119,0.000119
